公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
深圳晶泰科技有限公司,晶泰科技,50-150人,B轮,海淀区,算法工程师,不限,硕士,12k-24k,"MIT大牛,五险一金,年底双薪,带薪年假"
中能瑞通(北京)科技有限公司,中能瑞通,50-150人,未融资,昌平区,数据算法工程师,不限,本科,6k-12k,"公司氛围好,定期体检,五险二金,补助"
北京星尘纪元智能科技有限公司,星尘数据,15-50人,A轮,朝阳区,实习算法工程师,应届毕业生,硕士,10k-20k,"股票弃权,极客文化"
北京猫眼文化传媒有限公司,猫眼电影,500-2000人,未融资,东城区,算法工程师,应届毕业生,本科,12k-16k,校招职位，发展空间大，平台稳定
北京大智商医疗器械有限公司,北京大智商,15-50人,未融资,海淀区,算法工程师,1-3年,本科,10k-20k,"周末双休,五险一金,带薪年假,节日福利"
北京史河科技有限公司,史河科技,15-50人,A轮,海淀区,算法工程师,1-3年,本科,10k-20k,"五险一金,不打卡,双休,带薪年假"
国机智能技术研究院有限公司,国机智能技术研究院,50-150人,不需要融资,朝阳区,电机控制算法软件工程师,3-5年,硕士,10k-20k,"五险一金,补充医疗,福利补贴,发展前景好"
北京悦琦创通科技有限公司,悦琦医疗,150-500人,不需要融资,大兴区,算法工程师,应届毕业生,本科,12k-20k,"健康医疗,氛围轻松"
北京金风慧能技术有限公司,金风科技,2000人以上,上市公司,大兴区,算法工程师,3-5年,硕士,12K-20K,全球最具创新能力企业50强平台
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,2019校招-算法工程师,应届毕业生,本科,11k-22k,上市公司
北京华力创通科技股份有限公司,华力创通,500-2000人,上市公司,海淀区,算法工程师（信号）,应届毕业生,本科,8k-15k,"技术大牛带,成长空间大,团队氛围好"
北京航天宏图信息技术股份有限公司,北京航天宏图,500-2000人,D轮及以上,海淀区,算法工程师（北斗/GNSS）,不限,硕士,10k-20k,"五险一金,季度评优,餐补,项目奖金"
北京真机智能科技有限公司,真机智能,少于15人,天使轮,海淀区,物流机器人-导航算法工程师,1-3年,本科,10k-20k,"清华园区,唯才是用"
北京七鑫易维信息技术有限公司,七鑫易维,50-150人,B轮,朝阳区,视线估计算法工程师,1-3年,硕士,12k-24k,"大牛指导,发展空间大,行业领先,扁平化管理"
北京庖丁科技有限公司,庖丁科技,50-150人,A轮,朝阳区,AI算法工程师 （实习生）,不限,本科,10k-15k,"自助午餐,弹性工作,电影票报销,节日福利"
小立教育科技（北京）有限公司,小立教育,15-50人,天使轮,海淀区,算法工程师（可实习）,应届毕业生,本科,10k-20k,"团队氛围好,成长空间大"
深圳前海川谷信息技术有限公司,川谷金融科技,15-50人,天使轮,朝阳区,数据算法工程师,1-3年,大专,8k-15k,"五险一金,绩效奖金,成长空间"
北京和气聚力教育科技有限公司,好专业升学规划研究院,50-150人,A轮,朝阳区,算法建模工程师,1-3年,本科,10k-20k,"扁平组织,弹性工作,创意团队,福利年假"
万惠投资管理有限公司,PPmoney互联网金融平台,500-2000人,上市公司,海淀区,算法工程师（校招）,应届毕业生,本科,6k-12k,"五险一金,带薪年假,全勤奖,餐补"
北京盖娅互娱网络科技股份有限公司,盖娅互娱,500-2000人,上市公司,朝阳区,AI算法工程师,不限,本科,12k-24k,"弹性工作,福利待遇佳,办公环境佳"
广州小狗机器人技术有限公司北京分公司,小狗机器人,150-500人,不需要融资,朝阳区,调度算法工程师,1-3年,硕士,10k-20k,"五险一金,周六双休,弹性上班"
北京睿动体育服务有限公司,睿动体育,50-150人,A轮,朝阳区,生物算法工程师,应届毕业生,硕士,10k-20k,"五险一金,弹性工作,周末双休,节假日福利"
北京自如友家资产管理有限公司,自如网,2000人以上,A轮,朝阳区,定价算法专员,1-3年,本科,8k-12k,15-17薪，餐费补贴、住房福利
北京绿里生态科技有限公司,绿里,15-50人,A轮,通州区,算法研究员,1-3年,本科,10k-15k,"五险一金,带薪年假,奖金,补助"
北京极海纵横信息技术有限公司,GeoHey,15-50人,A轮,朝阳区,核心算法工程师,不限,不限,10k-20k,"大数据,扁平管理"
国机智能技术研究院有限公司,国机智能技术研究院,50-150人,不需要融资,朝阳区,智能制造算法工程师（应届毕业生）,应届毕业生,本科,10k-15k,"五险一金,补充医疗,福利补贴,发展前景好"
志诺维思（北京）基因科技有限公司,志诺维思,50-150人,A轮,海淀区,算法工程师（数理统计方向）,1-3年,硕士,10k-15k,"绩效奖金,五险一金,扁平管理,个人发展"
同方知网（北京）技术有限公司,知网,2000人以上,上市公司,海淀区,智能问答算法工程师,1-3年,硕士,12k-15k,大平台发展、技术大牛、提供食宿
北京多牛互动传媒股份有限公司,多牛传媒,150-500人,上市公司,海淀区,推荐算法工程师,1-3年,硕士,10k-20k,"五险一金,周末双休"
深思考人工智能机器人科技（北京）有限公司,深思考人工智能机器人,50-150人,A轮,海淀区,嵌入式硬件/DPU视觉算法（软件）工程师,1-3年,本科,12k-24k,"人工智能,AI芯片"
北京四维图新科技股份有限公司,四维图新,2000人以上,上市公司,海淀区,ADAS视觉算法工程师,3-5年,本科,13k-25k,核心部门核心岗位；技术氛围浓厚
叮当快药（北京）科技有限公司,叮当快药,150-500人,A轮,东城区,推荐算法工程师?,3-5年,大专,12k-24k,"期权,空间"
深圳市智听科技有限公司,智听科技,15-50人,A轮,海淀区,语音信号处理算法工程师,1-3年,硕士,13K-25K,"清华团队,底薪+薪金,培训,员工活动"
北京云游九州空间科技有限公司,云游九州,15-50人,天使轮,海淀区,遥感算法工程师,1-3年,本科,10k-20k,"时空大数据,互联网平台,硬科技,弹性上班"
北京兴承科技有限公司,兴承科技,少于15人,天使轮,海淀区,图像处理算法工程师,1-3年,本科,10k-20k,"五险一金,带薪休假,定期体检,生日惊喜"
国机智能技术研究院有限公司,国机智能技术研究院,50-150人,不需要融资,朝阳区,运动控制算法工程师（优秀应届硕士及以上）,应届毕业生,硕士,10k-15k,"五险一金,补充医疗,福利补贴,发展前景好"
北京四维图新科技股份有限公司,四维图新,2000人以上,上市公司,海淀区,并行算法优化工程师,3-5年,本科,13k-25k,核心部门核心岗位；技术氛围浓厚
深思考人工智能机器人科技（北京）有限公司,深思考人工智能机器人,50-150人,A轮,海淀区,嵌入式硬件/DPU立体视觉算法工程师,1-3年,本科,12k-24k,"人工智能,AI芯片"
深图（厦门）科技有限公司,深图智服DEEPIR,15-50人,天使轮,海淀区,视觉算法工程师,1-3年,本科,10k-20k,人工智能 机器学习 深度学习 国际化
银河水滴科技（北京）有限公司,水滴科技,50-150人,A轮,海淀区,视觉算法工程师,3-5年,硕士,10k-20k,"深度学习,人工智能"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,.NET工程师（算法好）,1-3年,本科,12k-18k,六险一金、弹性工作、奖金丰厚、技术牛人多
乐视网信息技术（北京）股份有限公司,乐视,2000人以上,上市公司,朝阳区,助理软件开发工程师（算法）-乐视网-【2018校招】,应届毕业生,本科,8k-16k,六险一金
北京朗视仪器有限公司,朗视仪器,50-150人,C轮,海淀区,图像算法工程师,不限,本科,10k-20k,"晋升空间大,环境宽松,六险一金,各种补助"
神策网络科技（北京）有限公司,神策数据,150-500人,C轮,海淀区,机器学习算法工程师,应届毕业生,本科,10k-20k,"技术大牛,行业前景好"
北京度量科技有限公司,度量科技,15-50人,未融资,朝阳区,算法工程师（图形图像处理/识别）,不限,硕士,7k-12k,"五险一金,年终多薪,周末双休,团队有活力"
深圳市旭东数字医学影像技术有限公司,旭东数字影像,50-150人,A轮,海淀区,图像算法工程师,不限,硕士,11k-22k,"团队牛人多,领导巨牛,领导性格好,团队氛围好"
深圳晶泰科技有限公司,晶泰科技,50-150人,B轮,海淀区,图像算法工程师,1-3年,硕士,10k-20k,"MIT大牛,五险一金,带薪年假,年底双薪"
北京北大方正电子有限公司,方正电子,500-2000人,上市公司,海淀区,图像处理算法工程师J11565,3-5年,本科,10k-15k,待遇好；环境优；发展空间大
北京清影华康科技有限公司,北京清影华康,15-50人,天使轮,海淀区,图像算法工程师,1-3年,本科,10k-20k,"弹性工作制,福利好,各种福利假"
北京图森智途科技有限公司,图森未来,150-500人,C轮,朝阳区,项目经理（算法方向）,不限,本科,10k-20k,"技术达人,五险一金,带薪年假,一日三餐"
国机智能技术研究院有限公司,国机智能技术研究院,50-150人,不需要融资,朝阳区,智能制造软件算法工程师（应届硕士及以上）,应届毕业生,硕士,8k-15k,"五险一金,补充医疗,福利补贴,央企平台"
北京万里红科技股份有限公司,万里红,150-500人,不需要融资,海淀区,高级图像处理算法工程师,不限,硕士,12k-24k,"图像处理,算法"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,海外内容运营-推荐算法方向,1年以下,本科,8k-16k,"硅谷氛围,高手如云,零食水果,六险一金"
驭势科技（北京）有限公司,驭势科技,50-150人,A轮,房山区,无人驾驶决策算法工程师,不限,本科,10k-20k,"无人驾驶,合伙人制度,工作餐,弹性工作"
乐视网信息技术（北京）股份有限公司,乐视,2000人以上,上市公司,朝阳区,助理算法工程师（语音方向）-乐视网-【2018校招】,应届毕业生,本科,8k-16k,六险一金
特斯联（北京）科技有限公司,特斯联,150-500人,B轮,朝阳区,图像算法工程师,不限,硕士,8k-16k,"薪资,环境"
北京车和家信息技术有限责任公司,车和家,500-2000人,B轮,朝阳区,自动驾驶算法研发工程师-感知融合方向,3-5年,本科,10k-20k,"公司有前景,办公环境好,领导好,福利待遇好"
北京中电普华信息技术有限公司,中电普华,500-2000人,不需要融资,海淀区,高级研发工程师（大数据算法研究）,3-5年,硕士,10k-20k,"国企,大平台,福利好,机会多"
北京文通科技有限公司,文通科技,150-500人,未融资,海淀区,图像处理算法工程师（可接受应届生）,不限,本科,10k-20k,"春节半个月,下午茶,俱乐部,免费旅游"
财富引擎（北京）科技有限公司,财富引擎,50-150人,A轮,海淀区,推荐算法研究员,1-3年,硕士,12k-20k,"大牛带路,双休,氛围好"
北京百家互联科技有限公司,跟谁学,500-2000人,A轮,海淀区,推荐算法研发工程师,1-3年,本科,10k-20k,"公司食堂,提供宿舍,带薪年假,六险一金"
智邮开源通信研究院（北京）有限公司,智邮开源,15-50人,未融资,海淀区,自动驾驶车辆控制算法工程师,1-3年,本科,8k-15k,"扁平化管理,技术大牛,发展前景好,技术氛围"
北京嘉恒中自图像技术有限公司,嘉恒图像,50-150人,不需要融资,海淀区,图像算法工程师,1-3年,本科,10k-20k,福利待遇，发展前景
北京卓成世纪科技发展有限公司,卓成世纪,50-150人,不需要融资,海淀区,图像算法工程师,3-5年,本科,8k-15k,"弹性时间,项目奖金,老板好"
天津光速信息科技有限公司,元纯语义,150-500人,不需要融资,朝阳区,matlab算法工程师,1-3年,不限,10k-20k,"热门行业,广阔平台,美女众多,福利好"
北京京东世纪贸易有限公司,京东商城,2000人以上,上市公司,大兴区,算法测试工程师,不限,不限,6k-12k,测试
北京成峰光电科技有限公司,成峰光电,50-150人,A轮,昌平区,图像算法工程师,不限,本科,8K-16K,平台大&nbsp;领导厚道&nbsp;美女职员&nbsp;地铁公交站边
智邮开源通信研究院（北京）有限公司,智邮开源,15-50人,未融资,海淀区,自动驾驶多传感器融合算法工程师,3-5年,本科,8k-15k,"扁平化管理,技术大牛,发展前景好,技术氛围"
北京北大方正电子有限公司,方正电子,500-2000人,上市公司,海淀区,图像处理算法工程师J11565,3-5年,本科,10k-20k,待遇好；环境优；发展空间大
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,产品经理（算法策略）--平台事业部,1-3年,本科,11k-18k,16薪
京东益世商服科技有限公司,京东益世商务秘书,2000人以上,上市公司,大兴区,【云京-电子签名行业】密码算法工程师,1-3年,本科,10k-20k,"京东投资,创业,政府支持"
北京嘉恒中自图像技术有限公司,嘉恒图像,50-150人,不需要融资,海淀区,嵌入式算法移植工程师,1-3年,本科,10k-20k,有技术背景
北京九章云极科技有限公司,九章云极科技,150-500人,B轮,海淀区,大数据算法应用工程师,1-3年,本科,10k-20k,技术大牛，领导nice，六险一金，成长型公司
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,语言模型算法实习生,应届毕业生,硕士,6k-12k,"成长空间,餐补"
北京汇行科技有限公司,妙计旅行,150-500人,B轮,东城区,C++算法工程师,1-3年,本科,12k-24k,"大牛带队,包三餐,成长空间大"
北京七鑫易维信息技术有限公司,七鑫易维,50-150人,B轮,朝阳区,图像处理/模式识别算法工程师,1-3年,硕士,13k-20k,"餐补,交通补助,生日福利,节日福利"
北京玩在一起科技有限公司,玩加电竞,15-50人,A轮,朝阳区,机器学习算法工程师,1-3年,本科,12k-15k,"五险一金,年底双薪,工作餐,弹性工作"
北京新石器科技有限公司,商用清洁洗地机自动驾驶解决方案,少于15人,未融资,海淀区,slam算法工程师,3-5年,硕士,12k-24k,"无人驾驶,项目奖金,股票期权,合伙人"
远形时空科技（北京）有限公司,远形时空,少于15人,天使轮,海淀区,SLAM 算法工程师,1-3年,硕士,13k-25k,"工作融洽,期权,新型行业"
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,【校招】推荐算法工程师,应届毕业生,本科,12k-24k,"完善的福利,竞争力薪酬,技术氛围好,上升空间大"
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,算法策略产品经理（包含18应届生）,不限,本科,12k-24k,16薪
北京汇行科技有限公司,妙计旅行,150-500人,B轮,东城区,C++算法工程师,1-3年,本科,8k-16k,一流办公环境，团队氛围超好，福利优厚
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,【校招】图像处理算法工程师,应届毕业生,硕士,12k-24k,"完善的福利,竞争力薪酬,技术氛围好,上升空间大"
中科博宏（北京）科技有限公司,中科博宏,50-150人,未融资,朝阳区,算法SDK优化工程师,1-3年,本科,10k-12k,"规划清晰,扁平管理,研究院"
深图（厦门）科技有限公司,深图智服DEEPIR,15-50人,天使轮,海淀区,人脸识别算法工程师,1-3年,本科,9k-18k,人工智能 机器学习 深度学习 国际化
北京东方国信科技股份有限公司,东方国信,2000人以上,上市公司,朝阳区,自然语言处理（NLP）算法工程师（QYtcw）,1-3年,硕士,10k-15k,"大数据,自主研发,云计算"
鲸力智享（北京）科技有限公司,鲸力智享,50-150人,天使轮,朝阳区,java算法工程师,3-5年,本科,9k-15k,"五险一金,奖金,旅游,补助"
玖富金科控股集团有限责任公司,玖富集团,2000人以上,C轮,朝阳区,图像识别算法工程师,1-3年,硕士,10k-20k,"商业保险,周末双休"
北京彩彻区明科技有限公司,彩彻区明科技,15-50人,A轮,海淀区,深度学习算法工程师,不限,本科,14k-28k,"补充保险,健身奖,年终奖,期权奖励"
美客（北京）科技有限公司,美客科技,15-50人,未融资,朝阳区,算法工程师（机器学习算法）,3-5年,本科,10k-20k,"发展空间,福利多,加班少,薪酬"
北京荣之联科技股份有限公司,荣之联,500-2000人,上市公司,朝阳区,NLP算法工程师（有落户机会）,1年以下,硕士,10k-20k,"团队牛,技术好,机会多"
北京盒子鱼教育科技有限公司,盒子鱼英语,150-500人,C轮,海淀区,图像处理算法,1年以下,硕士,6K-12K,五险一金，美女多，扁平化管理，地铁周边
百度在线网络技术（北京）有限公司,百度,2000人以上,不需要融资,海淀区,AR移动端算法工程优化工程师,3-5年,本科,10k-20k,大平台
北京无远弗届科技有限公司,VRTRIX,少于15人,不需要融资,石景山区,机器人3D视觉算法工程师,3-5年,本科,10k-20k,"发展空间大,期权激励,技术驱动,海归团队"
乐视网信息技术（北京）股份有限公司,乐视,2000人以上,上市公司,朝阳区,助理算法工程师（搜索推荐）-乐视网-【2018校招】,应届毕业生,本科,8k-16k,六险一金
上海任意门科技有限公司,Soul App,50-150人,B轮,东城区,推荐算法实习生,应届毕业生,硕士,10k-15k,"高薪资,上升空间,核心业务,快速发展"
同方知网（北京）技术有限公司,知网,2000人以上,上市公司,海淀区,深度学习算法工程师,不限,硕士,12k-24k,未来是人工智能的世界，我们一起建造新世界
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,【校招】深度学习算法工程师,应届毕业生,硕士,12k-24k,"完善的福利,竞争力薪酬,技术氛围好,上升空间大"
中科视拓（北京）科技有限公司,中科视拓,50-150人,A轮,海淀区,深度学习算法工程师,不限,本科,13k-25k,"五险一金,团建津贴,免费体检,节日礼金"
北京蓝石环球区块链科技有限公司,蓝石科技,50-150人,未融资,海淀区,初级区块链安全算法工程师,1-3年,本科,14k-20k,"创业团队,发展空间,绩效奖金,氛围好"
北京兆瑞财智科技有限公司,兆瑞财智,15-50人,天使轮,西城区,深度学习算法工程师,1-3年,本科,10k-20k,"BAT团队,扁平管理,不打卡,大牛多"
北京东方国信科技股份有限公司,东方国信,2000人以上,上市公司,朝阳区,Java/C++算法工程师（GY1zq）,3-5年,本科,10k-15k,"六险一金,13薪,年终奖,节日礼品"
北京国承万通信息科技有限公司,国承万通,50-150人,B轮,朝阳区,算法工程师（图像处理/深度学习）,不限,本科,10k-20k,"朝阳行业,顶级团队,超快成长,多重福利"
北京东方国信科技股份有限公司,东方国信,2000人以上,上市公司,朝阳区,Java/C++算法工程师（GY1zq）,3-5年,本科,10k-20k,"十三薪,年终奖,节日礼品,六险一金"
北京东方国信科技股份有限公司,东方国信,2000人以上,上市公司,朝阳区,Java/c++算法工程师（GYSY）,1-3年,本科,12k-24k,13薪年终奖 餐补 体检 六险一金 节日礼品
北京四维图新科技股份有限公司,四维图新,2000人以上,上市公司,海淀区,图像算法研发工程师,3-5年,本科,13k-25k,核心部门核心岗位；技术氛围浓厚；
国机智能技术研究院有限公司,国机智能技术研究院,50-150人,不需要融资,朝阳区,智能制造MES算法工程师,应届毕业生,硕士,8k-15k,"五险一金,带薪年假,定期体检,员工旅游"
北京瓴岳信息技术有限公司,洋钱罐,150-500人,不需要融资,朝阳区,算法工程师,1-3年,本科,15k-25k,"技术大牛多,技术驱动型,弹性工作,午餐晚餐"
精硕科技（北京）股份有限公司,AdMaster,500-2000人,不需要融资,海淀区,算法工程师,1-3年,硕士,15k-30k,业界领先
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,朝阳区,算法工程师,3-5年,大专,15k-25k,"智能客服,对话机器人,舆情分析,机器学习"
北京真格天成投资管理有限公司,真格基金,50-150人,不需要融资,丰台区,图像算法工程师-真格基金投资企业合作公司（思图）,1-3年,本科,15k-25k,"人工智能,人脸识别,五险一金,顶尖投资"
北京小度信息科技有限公司,百度外卖,2000人以上,不需要融资,海淀区,算法工程师,3-5年,本科,20k-40k,"技术氛围好,薪资待遇高,弹性工作制"
北京航天数据股份有限公司,航天数据,150-500人,不需要融资,海淀区,算法工程师,1-3年,硕士,20k-35k,"央企,七险一金,年底双薪,节日福利"
凡普金科集团有限公司,凡普金科,2000人以上,不需要融资,东城区,算法工程师,3-5年,本科,20k-40k,"扁平化管理,部门大牛多,六险一金,年底双薪"
清研讯科（北京）科技有限公司,清研讯科,50-150人,不需要融资,海淀区,算法工程师--定位类,1-3年,本科,20k-30k,"清华团队,股票期权,行业领跑者,福利健全"
中移在线服务有限公司,中移在线服务有限公司,2000人以上,不需要融资,西城区,算法工程师,3-5年,本科,15k-30k,"五险一金,企业年金,带薪年假,通话餐补"
合肥芯福传感器技术有限公司北京分公司,芯福,50-150人,不需要融资,海淀区,算法工程师,3-5年,硕士,15k-30k,"团队稳定,团建、旅游,体检"
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,不需要融资,海淀区,算法工程师,不限,本科,20k-35k,"福利好,有前景,技术优秀"
珠海随变科技有限公司,必要商城,50-150人,不需要融资,朝阳区,算法工程师,不限,不限,18k-36k,"弹性工作制,职业提升快,期权,项目好"
北京捷越联合信息咨询有限公司,北京捷越联合,2000人以上,不需要融资,东城区,高级算法工程师,1-3年,硕士,15k-25k,"六险一金,带薪年假,周末双休,弹性上班"
北京好价网络科技有限公司,好价,50-150人,不需要融资,朝阳区,算法工程师,3-5年,本科,15k-30k,"扁平管理,股票期权,弹性工作,岗位晋升"
北京小度信息科技有限公司,百度外卖,2000人以上,不需要融资,海淀区,数据挖掘/算法工程师,3-5年,本科,20k-40k,"晋升空间大,发展空间大,薪资丰厚"
中诚信征信有限公司,中诚信征信,150-500人,不需要融资,东城区,算法工程师,1-3年,本科,15k-30k,"行业领导者,优美四合院,午餐和零食,周五7小时"
北京奇安信科技有限公司,360企业安全,2000人以上,不需要融资,朝阳区,算法工程师,3-5年,硕士,20k-40k,"知名大厂,技术氛围浓,技术大牛多,技术成长快"
北京复华卓越商业管理有限公司,复华控股,2000人以上,不需要融资,朝阳区,算法开发工程师,1-3年,本科,15k-30k,"绩效奖金,五险一金,通讯补贴,餐补"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,机器学习/算法工程师(J180715001),5-10年,本科,20k-30k,六险一金
震坤行工业超市（上海）有限公司,震坤行,500-2000人,不需要融资,朝阳区,算法工程师,3-5年,本科,15k-30k,"平台大,B2B电商,福利好,空间大"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,AI算法工程师,1-3年,本科,20k-40k,"六险一金,水果零食,硅谷范办公,健身器材"
北京思源置地投资有限公司,思源科技,2000人以上,不需要融资,朝阳区,大数据工程师（算法）,5-10年,本科,15k-30k,"独栋办公楼,交通便利"
北京经舆典网络科技有限公司,经舆典,50-150人,不需要融资,东城区,高级算法工程师,不限,硕士,20k-40k,"算法,nlp,机器学习,图像识别"
